uf,cod_uf,ano,local,outra_uf,dentro_macrorregiao_saude,dentro_regiao_saude,fora_macrorregiao_saude,km_partos_fora_macrorregiao,km_partos_na_macrorregiao,km_partos_na_regiao,km_partos_fora_uf,km_partos_fora_macrorregiao_alta_complexidade,km_partos_na_macrorregiao_alta_complexidade,km_partos_na_regiao_alta_complexidade,km_partos_fora_uf_alta_complexidade,km_partos_fora_macrorregiao_baixa_complexidade,km_partos_na_macrorregiao_baixa_complexidade,km_partos_na_regiao_baixa_complexidade,km_partos_fora_uf_baixa_complexidade,nao_local,km_partos_fora_municipio,km_partos_fora_municipio_alta_complexidade,km_partos_fora_municipio_baixa_complexidade,destino_total
Minas Gerais,31,2023,142450,2314,24405,59700,5048,99.1994,41.3045,33.3064,75.2229,97.7834,46.2379,33.748,68.6631,120.1957,35.5481,33.3064,79.1889,91467,36.7053,37.4932,33.752,233918
Minas Gerais,31,2024,132108,2222,23547,56959,4982,99.1994,43.0684,33.3064,69.6446,99.1994,51.7151,34.6944,71.3844,103.9742,35.5481,33.3064,63.6802,87710,37.6719,38.8613,33.3064,219819
Minas Gerais,31,2025,85913,1294,15864,37622,3437,99.1994,44.1633,33.3603,92.3289,99.1994,49.7709,33.5137,113.7832,94.3275,30.263,33.3064,51.1148,58217,38.1283,38.8793,34.3956,144130
Espírito Santo,32,2023,29327,673,0,19197,2990,110.5073,0,33.2539,45.4209,125.0036,0,37.5453,57.7161,82.8389,0,25.8502,21.7687,22860,37.5453,45.5148,29.8763,52187
Espírito Santo,32,2024,28288,666,0,18850,2133,109.592,0,34.6575,40.1017,125.0036,0,37.5453,55.8751,83.6688,0,29.8763,34.9996,21649,37.5453,42.5671,30.1498,49937
Espírito Santo,32,2025,16270,391,0,10963,1227,91.9511,0,33.2539,40.1017,108.9288,0,37.5453,57.7161,83.6688,0,29.8763,34.2972,12581,37.5453,42.5087,30.1498,28851
Rio de Janeiro,33,2023,131568,479,3713,37936,2440,81.281,37.6284,20.8512,64.0067,113.4341,30.9243,20.8512,64.0067,56.6065,44.4841,14.7291,165.9226,44568,20.9699,24.4013,17.8948,176145
Rio de Janeiro,33,2024,122985,480,3460,34444,2331,81.281,37.6284,20.8512,64.0067,118.0525,37.6284,20.8512,64.0067,45.7365,38.7606,14.7291,301.9324,40715,21.7066,25.1655,17.8948,163722
Rio de Janeiro,33,2025,79882,260,2339,22666,1451,81.281,37.6284,20.8512,76.5896,110.4914,37.6284,20.8512,76.5896,45.7365,28.5448,14.7291,223.4156,26716,21.7108,25.1655,20.8512,106604
São Paulo,35,2023,371171,582,10948,86248,34954,28.684,57.1976,21.1853,177.2138,28.684,58.8481,21.4769,160.1439,23.2076,39.8643,18.8056,340.544,132732,23.2076,23.2788,23.2076,503910
