codmunres,ano,local,outra_uf,dentro_macrorregiao_saude,dentro_regiao_saude,fora_macrorregiao_saude,km_partos_fora_macrorregiao,km_partos_na_macrorregiao,km_partos_na_regiao,km_partos_fora_uf,km_partos_fora_macrorregiao_alta_complexidade,km_partos_na_macrorregiao_alta_complexidade,km_partos_na_regiao_alta_complexidade,km_partos_fora_uf_alta_complexidade,km_partos_fora_macrorregiao_baixa_complexidade,km_partos_na_macrorregiao_baixa_complexidade,km_partos_na_regiao_baixa_complexidade,km_partos_fora_uf_baixa_complexidade,nao_local,km_partos_fora_municipio,km_partos_fora_municipio_alta_complexidade,km_partos_fora_municipio_baixa_complexidade,destino_total,total_n_local_mun,codmunnasc1,n_nasc1,x_1,codmunnasc2,n_nasc2,x_2,codmunnasc3,n_nasc3,x_3,cnes,nasc_estab,nome_estabelecimento_fantasia,nascimentos,partos_na_macro_com_1mais_uti,partos_na_macro_com_4mais_uti,partos_na_macro_sem_1mais_uti,partos_na_macro_sem_4mais_uti,partos_fora_macro_com_1mais_uti,partos_fora_macro_com_4mais_uti,partos_fora_macro_sem_1mais_uti,partos_fora_macro_sem_4mais_uti,partos_na_macro_sem_inf,partos_fora_macro_sem_inf
412560,2025,198,9,15,94,0,0,122.8112,86.3928,30.7459,0,58.3983,86.3928,45.433,0,149.2741,0,30.7459,118,86.3928,86.3928,30.7459,316,118,412820,94,79.7,410690,7,5.9,411070,7,5.9,2568373,94,ASSOCIACAO DE PROTECAO A MATERNIDADE E A INFANCIA,1,1,1,0,0,0,0,0,0,0,0
412570,2023,236,1,7,165,0,0,98.8864,17.427,761.2766,0,106.4166,42.0377,761.2766,0,98.8864,17.427,0,173,17.427,42.0377,17.427,409,173,411580,89,51.4,410830,76,43.9,410480,4,2.3,2591049,74,HOSPITAL ITAMED,7,6,6,1,1,0,0,0,0,0,0
412570,2024,186,0,4,163,0,0,98.8864,42.0377,0,0,98.8864,42.0377,0,0,98.8864,17.427,0,167,42.0377,42.0377,23.9978,353,167,410830,91,54.5,411580,67,40.1,410480,4,2.4,2591049,90,HOSPITAL ITAMED,6,5,5,1,1,0,0,0,0,0,0
412570,2025,139,0,7,138,0,0,98.8864,42.0377,0,0,98.8864,42.0377,0,0,0,31.3441,0,145,42.0377,42.0377,31.3441,284,145,410830,75,51.7,411580,59,40.7,410480,7,4.8,2591049,75,HOSPITAL ITAMED,1,1,1,0,0,0,0,0,0,0,0
412575,2023,0,0,2,79,0,0,69.1086,32.921,0,0,69.1086,32.921,0,0,69.1086,70.5835,0,81,32.921,32.921,70.5835,81,81,412770,77,95.1,410480,2,2.5,411460,2,2.5,4056752,68,HOESP,3,2,2,1,1,0,0,0,0,0,0
412575,2024,1,0,5,57,0,0,69.1086,32.921,0,0,69.1086,32.921,0,0,69.1086,0,0,62,32.921,32.921,69.1086,63,62,412770,57,91.9,410480,5,8.1,,,,4056752,52,HOESP,2,2,2,0,0,0,0,0,0,0,0
412575,2025,0,0,3,39,0,0,69.1086,32.921,0,0,69.1086,32.921,0,0,69.1086,0,0,42,32.921,32.921,69.1086,42,42,412770,39,92.9,410480,3,7.1,,,,4056752,34,HOESP,0,0,0,0,0,0,0,0,0,0,0
412580,2023,12,0,9,69,14,83.2027,57.5294,66.3483,0,83.2027,57.5294,66.3483,0,49.4749,0,0,0,92,66.3483,66.3483,49.4749,104,92,410140,69,75,411520,11,12,411150,9,9.8,2439263,69,HNSG HOSPITAL PROVIDENCIA MATERNO INFANTIL,3,3,3,0,0,0,0,0,0,0,0
412580,2024,13,0,6,49,15,83.2027,57.5294,66.3483,0,83.2027,57.5294,66.3483,0,0,0,24.9963,0,70,66.3483,66.3483,24.9963,83,70,410140,48,68.6,411520,15,21.4,411150,6,8.6,2439263,48,HNSG HOSPITAL PROVIDENCIA MATERNO INFANTIL,0,0,0,0,0,0,0,0,0,0,0
412580,2025,16,0,5,25,7,83.2027,57.5294,66.3483,0,83.2027,57.5294,66.3483,0,0,0,0,0,37,66.3483,66.3483,0,53,37,410140,25,67.6,411520,7,18.9,411150,5,13.5,2439263,25,HNSG HOSPITAL PROVIDENCIA MATERNO INFANTIL,1,1,1,0,0,0,0,0,0,0,0
412590,2023,0,0,0,25,0,0,0,19.2144,0,0,0,102.4596,0,0,0,19.2144,0,25,19.2144,102.4596,19.2144,25,25,411350,20,80,411840,5,20,,,,2753545,20,CASA DE SAUDE E MATERNIDADE SANTA CATARINA,1,0,0,1,1,0,0,0,0,0,0
412590,2024,0,0,1,17,0,0,172.2851,19.2144,0,0,172.2851,102.4596,0,0,0,19.2144,0,18,19.2144,137.3724,19.2144,18,18,411350,16,88.9,411520,1,5.6,411840,1,5.6,2753545,16,CASA DE SAUDE E MATERNIDADE SANTA CATARINA,0,0,0,0,0,0,0,0,0,0,0
412590,2025,0,0,1,26,0,0,172.2851,102.4596,0,0,172.2851,102.4596,0,0,0,19.2144,0,27,102.4596,102.4596,19.2144,27,27,411840,14,51.9,411350,12,44.4,411520,1,3.7,2754738,14,SANTA CASA DE PARANAVAI,0,0,0,0,0,0,0,0,0,0,0
412600,2023,3,0,17,67,1,365.3885,63.3793,41.5218,0,0,63.3793,41.5218,0,365.3885,18.6016,57.5572,0,85,41.5218,41.5218,57.5572,88,85,410640,38,44.7,412390,29,34.1,411370,9,10.6,2582449,36,SANTA CASA DE CORNELIO PROCOPIO,0,0,0,0,0,0,0,0,0,0,0
412600,2024,1,1,11,70,0,0,63.3793,41.5218,455.7005,0,63.3793,41.5218,455.7005,0,32.6745,57.5572,0,82,41.5218,41.5218,57.5572,83,82,410640,45,54.9,412390,24,29.3,411370,7,8.5,2582449,45,SANTA CASA DE CORNELIO PROCOPIO,1,1,1,0,0,0,0,0,0,0,0
412600,2025,0,0,15,29,1,588.8288,63.3793,57.5572,0,588.8288,63.3793,41.5218,0,0,18.6016,57.5572,0,45,57.5572,41.5218,57.5572,45,45,412390,15,33.3,410640,14,31.1,411370,10,22.2,7278608,15,CIS CENTRO INTEGRADO EM SAUDE,0,0,0,0,0,0,0,0,0,0,0
412610,2023,0,0,4,59,1,349.2581,97.3668,18.4612,0,0,97.3668,18.4612,0,349.2581,0,20.0876,0,64,18.4612,18.4612,31.4478,64,64,410550,57,89.1,411520,3,4.7,410430,1,1.6,2733676,56,INSTITUTO BOM JESUS,0,0,0,0,0,0,0,0,0,0,0
412610,2024,0,0,5,45,0,0,97.3668,18.4612,0,0,97.3668,18.4612,0,0,0,0,0,50,18.4612,18.4612,0,50,50,410550,45,90,411520,5,10,,,,2733676,44,INSTITUTO BOM JESUS,0,0,0,0,0,0,0,0,0,0,0
