"codmunres","ano","nascimentos","partos_na_macro_com_1mais_uti","partos_na_macro_com_4mais_uti","partos_na_macro_sem_1mais_uti","partos_na_macro_sem_4mais_uti","partos_fora_macro_com_1mais_uti","partos_fora_macro_com_4mais_uti","partos_fora_macro_sem_1mais_uti","partos_fora_macro_sem_4mais_uti","partos_na_macro_sem_inf","partos_fora_macro_sem_inf"
110080,2023,3,3,3,0,0,0,0,0,0,0,0
110080,2024,3,3,3,0,0,0,0,0,0,0,0
110080,2025,4,4,4,0,0,0,0,0,0,0,0
110090,2023,0,0,0,0,0,0,0,0,0,0,0
110090,2024,0,0,0,0,0,0,0,0,0,0,0
110090,2025,0,0,0,0,0,0,0,0,0,0,0
110092,2023,0,0,0,0,0,0,0,0,0,0,0
110092,2024,2,0,0,2,2,0,0,0,0,0,0
110092,2025,1,0,0,1,1,0,0,0,0,0,0
110094,2023,3,0,0,2,2,0,0,1,1,0,0
110094,2024,1,1,1,0,0,0,0,0,0,0,0
110094,2025,0,0,0,0,0,0,0,0,0,0,0
110100,2023,1,0,0,1,1,0,0,0,0,0,0
110100,2024,0,0,0,0,0,0,0,0,0,0,0
110100,2025,1,0,0,1,1,0,0,0,0,0,0
110110,2023,1,1,1,0,0,0,0,0,0,0,0
110110,2024,1,1,1,0,0,0,0,0,0,0,0
110110,2025,0,0,0,0,0,0,0,0,0,0,0
110120,2023,0,0,0,0,0,0,0,0,0,0,0
110120,2024,0,0,0,0,0,0,0,0,0,0,0
110120,2025,0,0,0,0,0,0,0,0,0,0,0
110130,2023,2,0,0,1,1,1,1,0,0,0,0
110130,2024,0,0,0,0,0,0,0,0,0,0,0
110130,2025,0,0,0,0,0,0,0,0,0,0,0
110140,2023,0,0,0,0,0,0,0,0,0,0,0
110140,2024,0,0,0,0,0,0,0,0,0,0,0
110140,2025,0,0,0,0,0,0,0,0,0,0,0
110143,2023,0,0,0,0,0,0,0,0,0,0,0
110143,2024,0,0,0,0,0,0,0,0,0,0,0
110143,2025,1,0,0,1,1,0,0,0,0,0,0
110145,2023,0,0,0,0,0,0,0,0,0,0,0
110145,2024,0,0,0,0,0,0,0,0,0,0,0
110145,2025,0,0,0,0,0,0,0,0,0,0,0
110146,2023,0,0,0,0,0,0,0,0,0,0,0
110146,2024,1,0,0,1,1,0,0,0,0,0,0
110146,2025,0,0,0,0,0,0,0,0,0,0,0
110147,2023,0,0,0,0,0,0,0,0,0,0,0
110147,2024,0,0,0,0,0,0,0,0,0,0,0
110147,2025,2,0,0,1,1,1,1,0,0,0,0
110148,2023,2,0,0,1,1,1,1,0,0,0,0
110148,2024,0,0,0,0,0,0,0,0,0,0,0
110148,2025,1,0,0,1,1,0,0,0,0,0,0
110149,2023,0,0,0,0,0,0,0,0,0,0,0
110149,2024,1,0,0,0,0,1,1,0,0,0,0
110149,2025,3,0,0,2,2,1,1,0,0,0,0
110150,2023,3,0,0,1,1,2,2,0,0,0,0
110150,2024,1,0,0,0,0,0,0,0,0,1,0
