"codmunres","ano","obitos_mat_totais","obitos_mat_diretos","obitos_mat_aborto","obitos_mat_hipertensao","obitos_mat_hemorragia","obitos_mat_infec_puerperal","nascidos"
"120035",2020,1,1,0,0,1,0,334
"120035",2021,2,1,0,0,0,0,443
"120038",2013,1,1,0,1,0,0,334
"120039",2016,1,1,0,1,0,0,230
"120040",2012,7,3,0,1,1,1,6531
"120040",2013,4,1,0,0,0,0,7116
"120040",2014,3,1,0,1,0,0,7011
"120040",2015,3,3,0,1,1,0,6965
"120040",2016,3,3,0,1,0,0,6614
"120040",2017,2,2,0,0,1,0,6460
"120040",2018,6,6,1,1,3,0,6495
"120040",2019,4,3,0,2,1,0,6324
"120040",2020,1,1,0,0,0,0,5745
"120040",2021,8,2,1,1,0,0,5666
"120040",2022,2,1,0,0,0,0,5353
"120042",2014,1,1,0,1,0,0,394
"120043",2012,1,1,1,0,0,0,259
"120043",2014,1,1,0,0,0,1,185
"120043",2015,1,1,0,0,0,0,150
"120043",2017,1,1,0,0,1,0,198
"120045",2015,1,1,0,0,0,0,443
"120045",2018,1,1,0,0,0,0,476
"120045",2022,2,2,0,1,0,0,344
"120050",2019,1,1,0,0,0,0,768
"120050",2020,1,0,0,0,0,0,668
"120050",2021,2,1,1,0,0,0,759
"120060",2013,2,2,0,0,2,0,1138
"120060",2016,1,1,0,0,0,0,1078
"120060",2018,1,1,0,0,1,0,1193
"120060",2019,1,1,0,1,0,0,1143
"120060",2022,1,1,0,0,0,0,1088
"120070",2017,1,1,0,1,0,0,305
"120080",2016,1,1,0,1,0,0,356
"130002",2013,1,1,0,0,0,0,346
"130002",2021,3,1,0,0,0,0,445
"130006",2012,1,1,0,0,0,0,242
"130006",2020,1,1,0,0,1,0,265
"130008",2014,1,1,0,0,0,0,212
"130008",2016,1,0,0,0,0,0,182
"130010",2016,1,1,0,1,0,0,266
"130010",2018,1,0,0,0,0,0,247
"130010",2021,1,0,0,0,0,0,262
"130014",2020,1,1,0,1,0,0,265
"130014",2022,1,1,0,1,0,0,271
"130020",2012,1,0,0,0,0,0,357
"130020",2014,1,1,0,0,1,0,435
"130020",2017,1,1,0,1,0,0,382
"130020",2018,1,1,0,0,0,0,357
"130020",2020,1,1,0,0,1,0,280
"130030",2014,1,1,0,1,0,0,955
"130030",2015,1,0,0,0,0,0,829
"130030",2020,1,1,0,0,1,0,906
"130030",2021,1,0,0,0,0,0,950
"130030",2022,2,2,0,0,2,0,856
"130040",2012,1,0,0,0,0,0,469
"130040",2013,1,0,0,0,0,0,480
"130040",2016,1,1,0,0,0,0,496
"130040",2021,2,1,0,1,0,0,507
"130050",2013,2,2,1,0,0,0,769
"130050",2016,1,0,0,0,0,0,810
"130050",2019,2,2,1,1,0,0,857
"130050",2022,1,0,0,0,0,0,815
"130060",2012,2,2,0,0,0,1,1053
"130060",2014,2,1,0,0,0,0,1077
"130060",2015,1,0,0,0,0,0,968
"130060",2019,3,1,0,0,0,0,1030
"130060",2020,3,2,1,0,1,0,984
"130060",2021,2,1,0,0,1,0,1055
"130063",2012,2,0,0,0,0,0,427
"130063",2013,1,1,1,0,0,0,428
"130063",2018,1,1,0,1,0,0,501
"130063",2019,1,0,0,0,0,0,525
"130063",2022,1,1,0,1,0,0,507
"130068",2015,1,1,0,0,1,0,369
"130068",2017,1,1,1,0,0,0,319
"130068",2018,1,1,0,0,1,0,318
"130068",2019,1,1,0,0,1,0,330
"130070",2019,1,1,0,1,0,0,725
"130070",2020,1,1,0,0,0,0,718
"130080",2015,1,1,0,0,1,0,725
"130080",2018,1,1,0,0,0,0,789
"130080",2021,1,1,0,0,0,0,886
"130083",2013,1,1,0,0,0,1,203
"130083",2016,1,1,0,1,0,0,183
"130083",2020,1,0,0,0,0,0,204
"130090",2014,1,1,0,0,0,0,231
"130090",2015,1,1,0,1,0,0,219
"130090",2018,1,1,0,0,0,1,222
"130090",2021,1,1,0,1,0,0,198
"130100",2013,1,0,0,0,0,0,633
"130100",2014,2,1,0,1,0,0,658
"130100",2015,2,2,0,1,0,0,628
"130100",2018,1,1,0,0,1,0,636
"130100",2021,1,0,0,0,0,0,684
"130100",2022,2,2,0,0,0,0,575
"130110",2019,1,1,0,0,0,0,564
"130110",2020,1,1,0,0,0,0,565
"130110",2022,1,1,0,1,0,0,548
"130115",2012,1,0,0,0,0,0,171
"130115",2014,1,1,0,0,1,0,208
"130115",2022,1,1,0,1,0,0,219
"130120",2012,2,2,0,2,0,0,1668
"130120",2014,2,1,0,0,0,0,1704
"130120",2015,2,1,0,1,0,0,1744
"130120",2016,1,0,0,0,0,0,1646
"130120",2017,3,1,0,1,0,0,1656
"130120",2018,3,2,0,0,0,1,1747
"130120",2019,3,2,0,2,0,0,1698
"130120",2021,2,0,0,0,0,0,1622
"130120",2022,2,2,0,1,0,0,1536
"130130",2016,2,2,0,0,2,0,404
"130130",2017,2,1,0,0,0,0,439
"130130",2019,1,1,0,0,0,0,468
"130140",2013,3,1,0,0,1,0,852
"130140",2017,2,2,0,0,0,1,854
"130140",2020,1,1,0,0,1,0,717
"130140",2021,1,0,0,0,0,0,728
"130140",2022,2,2,0,1,0,0,750
"130150",2013,1,1,0,1,0,0,366
"130150",2014,1,1,0,0,0,0,386
"130150",2017,1,1,0,0,1,0,424
"130160",2015,1,1,0,1,0,0,670
"130160",2017,3,3,0,3,0,0,630
"130160",2018,1,1,0,0,0,0,621
"130160",2019,1,1,0,0,0,0,579
"130160",2020,1,0,0,0,0,0,628
"130160",2022,1,1,0,0,0,0,553
"130165",2018,1,1,0,0,0,0,293
"130170",2014,1,1,0,1,0,0,970
"130170",2017,1,1,0,0,0,0,1001
"130170",2021,1,0,0,0,0,0,1127
"130180",2012,1,1,0,1,0,0,439
"130180",2019,1,1,0,1,0,0,376
"130180",2021,2,2,0,0,1,0,406
"130185",2012,1,0,0,0,0,0,898
"130185",2013,1,1,0,0,0,0,849
"130185",2014,1,1,0,0,0,0,873
"130185",2015,1,0,0,0,0,0,867
"130185",2018,1,1,0,0,1,0,945
"130185",2021,3,0,0,0,0,0,939
"130185",2022,1,1,0,1,0,0,918
"130190",2014,1,1,0,0,1,0,2068
"130190",2015,4,4,0,1,0,2,2078
"130190",2016,1,1,0,1,0,0,2028
"130190",2017,2,2,0,1,0,0,1985
"130190",2019,2,2,0,1,1,0,2034
"130190",2020,1,0,0,0,0,0,1929
"130190",2021,3,0,0,0,0,0,2045
"130195",2014,1,0,0,0,0,0,260
"130195",2017,1,1,0,1,0,0,245
"130195",2019,1,1,0,0,0,0,247
"130200",2014,1,1,0,0,0,0,154
"130210",2012,1,1,0,1,0,0,142
"130230",2014,1,1,0,0,1,0,631
"130230",2016,1,1,0,1,0,0,604
"130230",2017,1,1,0,0,0,0,659
"130240",2014,2,2,0,0,0,0,715
"130240",2015,2,1,0,0,0,1,659
"130240",2022,1,0,0,0,0,0,817
"130250",2012,2,1,0,0,0,1,1886
"130250",2015,2,1,0,0,0,1,2070
"130250",2016,3,3,1,1,1,0,1795
"130250",2017,2,2,0,0,1,0,1938
"130250",2018,3,0,0,0,0,0,2056
"130250",2019,1,1,0,0,0,0,2115
"130250",2020,4,2,0,2,0,0,2097
"130250",2021,3,2,0,0,0,0,2265
"130250",2022,1,1,0,0,0,0,2024
"130255",2013,1,1,1,0,0,0,249
"130255",2020,1,0,0,0,0,0,249
"130255",2022,1,1,0,1,0,0,305
"130260",2012,22,14,0,5,1,2,41169
"130260",2013,28,18,0,4,3,1,41640
"130260",2014,42,21,1,7,3,5,42809
"130260",2015,20,7,1,1,0,1,42342
"130260",2016,27,14,0,5,3,1,39603
"130260",2017,12,6,0,1,1,0,38498
"130260",2018,37,22,4,4,4,4,38588
"130260",2019,26,15,1,4,3,2,37939
"130260",2020,41,18,1,5,1,3,37274
"130260",2021,71,17,3,6,0,2,37041
"130260",2022,23,16,2,6,2,2,34707
"130270",2012,1,1,1,0,0,0,810
